index_col,content,data,like,place,tags
200,?????비오는날 의 컬러??클래식블루 ~?? ???,2020-01-07,44,,[]
201,"[Milk_FASHION]?팬톤이 선정한 2020년의 색,클래식 블루를 입는 색다른 방법.???_1 부드럽고 포근한 리넨 소재 블라우스 더캄파멘토 @thecampamento2 클래식한 디자인의 볼캡 랄프로렌칠드런 @poloralphlauren 3 깔끔한고 단정한 디자인의 리버서블 머플러 베이비디올 @babydior_official4 선명한 블루 컬러가 눈길을 끄는 니트 스카치앤소다 @scotch_official5 블루 컬러 빅 로고가 돋보이는 재킷 버버리 @burberry?자세한 내용은 밀크 1월호를 참고하세요??www.milkorea.com?#밀크코리아 #밀크매거진 #milkorea #milkoreamagazine#키즈모델 #kidsmodel #키즈패션 #kidsfashion#겨울패션 #클래식블루 #올해의색 #팬톤컬러 #2020#Color #더캄파멘토 #랄프로렌 #디올베이비 #스카치앤소다 #버버리",2020-01-06,168,,"['#밀크코리아', '#밀크매거진', '#milkorea', '#milkoreamagazine', '#키즈모델', '#kidsmodel', '#키즈패션', '#kidsfashion', '#겨울패션', '#클래식블루', '#올해의색', '#팬톤컬러', '#2020', '#Color', '#더캄파멘토', '#랄프로렌', '#디올베이비', '#스카치앤소다', '#버버리']"
202,#클래식블루 느낌처럼#당당하게 #베이직하게시작합니다!..#문화예술스튜디오soap #어린이문화예술스튜디오soap #사진출처 #pantone #올해의색,2020-01-06,9,,"['#클래식블루', '#당당하게', '#베이직하게시작합니다!..', '#문화예술스튜디오soap', '#어린이문화예술스튜디오soap', '#사진출처', '#pantone', '#올해의색']"
203,"""the color of 2020""""2020년 올해의 컬러""",2020-01-05,6,,[]
204,노는게 제일 좋아 친구들 모여라??@kimyj_77@noh0507@jihye_12_16@a_ding_chu...#2020 #1월 #송년회 #bff #올해의색 #ootd #blue #25 #반오십 #파티 #party #홍대,2020-01-05,41,홍대어딘가에서,"['#2020', '#1월', '#송년회', '#bff', '#올해의색', '#ootd', '#blue', '#25', '#반오십', '#파티', '#party', '#홍대']"
205,#??#2020#올해의색#클래식블루#2001#앨범#fantasy#이거슨운명30년전 양준일 & 지금의 양준일=?평화와 안정을 주는 클래식블루를 닮은노래두번 들으세요 세번 들으세요 계속 들으세요힘든 요즘 위로받고 용기를 얻어요#고마워요#그리웠어#출구없어#선한영향력#양준일#JIY,2020-01-04,132,,"['#??', '#2020', '#올해의색', '#클래식블루', '#2001', '#앨범', '#fantasy', '#이거슨운명30년전', '#고마워요', '#그리웠어', '#출구없어', '#선한영향력', '#양준일', '#JIY']"
206,동생 성인된 이후 찍은 첫 가족사진#가족여행 #가족사진 #베트남 #다낭 #미케비치해변 #아오자이 #프로필사진 #잘생김주의 #올해의색 #클래식블루,2020-01-04,53,"Da Nang, Vietnam","['#가족여행', '#가족사진', '#베트남', '#다낭', '#미케비치해변', '#아오자이', '#프로필사진', '#잘생김주의', '#올해의색', '#클래식블루']"
207,2020년의 컬러 클래식 블루??????...#2020년 #컬러 #올해의색 #클래식블루 #블루 #팬톤 #색 #패션 #패션스타그램 #일상 #일상스타그램,2020-01-04,108,,"['#2020년', '#컬러', '#올해의색', '#클래식블루', '#블루', '#팬톤', '#색', '#패션', '#패션스타그램', '#일상', '#일상스타그램']"
208,"파랗게 시작하는 2020??오베이, 칼하트 등 단독 할인! 최대 70%-http://bit.ly/36mBos6",2020-01-03,54,,[]
209,2020 올해의 컬러 Classic Blue!.스쿱에서 만나보세요??2020 트렌드는 스쿱과 함께!..#스쿱 #히팅패드 #스쿱히팅패드 #발난로 #사무실발난로 #온열기기 #전기히터 #전기난로 #손날로 #사무실필템 #클래식블루 #2020팬톤 #팬톤컬러 #직장인추천 #독서실 #전기패드 #난방기추천 #SCOOP #내돈내산 #수족냉증 #연말선물 #추천템 #펭수닮은꼴 #펭수굿즈 #펭귄굿즈 #펭하 #올해의색 #2020년 #올해의컬러,2020-01-02,57,,"['#스쿱', '#히팅패드', '#스쿱히팅패드', '#발난로', '#사무실발난로', '#온열기기', '#전기히터', '#전기난로', '#손날로', '#사무실필템', '#클래식블루', '#2020팬톤', '#팬톤컬러', '#직장인추천', '#독서실', '#전기패드', '#난방기추천', '#SCOOP', '#내돈내산', '#수족냉증', '#연말선물', '#추천템', '#펭수닮은꼴', '#펭수굿즈', '#펭귄굿즈', '#펭하', '#올해의색', '#2020년', '#올해의컬러']"
210,?????????????????올해 여러분이 가장 많이 마주하게 될 컬러. 2020 팬톤 올해의 컬러 #클래식블루 입니다. ??#PANTONE 19-4052 Classic Blue클래식블루를 정확하게 구현하는 페인트는 노루페인트의 #팬톤페인트 가 유일하죠!?????????????????인테리어를 클래식블루 컬러의 팬톤페인트로 세련되게 완성해 보세요 ??출처: @va_designer,2020-01-02,0,,"['#클래식블루', '#PANTONE', '#팬톤페인트']"
211,2020년 #올해의색 #classicblue 남편이랑 처음으로 동물원 데이트 + 1월 1일에도 #열운 #DAY3 #덴버주에는신기한개구리들이많았다..,2020-01-02,31,Denver Zoo,"['#올해의색', '#classicblue', '#열운', '#DAY3', '#덴버주에는신기한개구리들이많았다..']"
212,올해의 색은 파랑이라던데??,2020-01-01,10,,[]
213,"???????? ??????????????.??여러분 2020년 올해의 컬러가 무엇인지 아시나용?!.바로 “클래식 블루”인데요! 이번에는 클래식 블루를 모티브로 #컷크리즈 #메이크업 을 해봤어요! ??브로우, 아이, 립, 렌즈 모두 블루컬러로 표현했는데 생각보다 너무 예쁘더라구요! 다만, 렌즈 색감이 안담겨서 마상...??.플래시를 터뜨려?? 찍었더니 본래 메이크업 색감보다 많이 어두워졌어요?? 이해해주세요오??.그리고 여러분 모두가 2020년은 2019년보다 더 좋은 한 해가 되길 기도할게욥?? 또 저도 다양한 메이크업 많이 올리도록 할게욤??“새해 복 많이 받으세요??” ._#EOTD #AD #olens #블루렌즈 #블루메이크업 #bluemakeup #올해의색 #클래식블루 #아이메이크업 #化?品 #코덕스타그램 #코덕 #코덕맞팔 #뷰덕 #cosmetics #좋아요 #좋아요반사 #MOTD #makeup #beauty #kbeauty #化? #??化?品 #메이크업 #미용인 #컬러메이크업 #새해복많이받으세요 #분장",2020-01-01,85,,"['#컷크리즈', '#메이크업', '#EOTD', '#AD', '#olens', '#블루렌즈', '#블루메이크업', '#bluemakeup', '#올해의색', '#클래식블루', '#아이메이크업', '#化?品', '#코덕스타그램', '#코덕', '#코덕맞팔', '#뷰덕', '#cosmetics', '#좋아요', '#좋아요반사', '#MOTD', '#makeup', '#beauty', '#kbeauty', '#化?', '#??化?品', '#메이크업', '#미용인', '#컬러메이크업', '#새해복많이받으세요', '#분장']"
214,웹과 #17ROOMS 를 통해 진행했던 #2019 #올해의키워드 #올해의색 여러분의 많은 참여 감사드립니다. ?? 새해는 더 건강하고 행복하세요!,2019-12-31,42,,"['#17ROOMS', '#2019', '#올해의키워드', '#올해의색']"
215,남자는 후드징~?? ...#2020년 #올해의색 #클래식블루 #루피 #루피x누나 #요키스타그램 #요크셔테리어,2019-12-31,11,,"['#2020년', '#올해의색', '#클래식블루', '#루피', '#루피x누나', '#요키스타그램', '#요크셔테리어']"
216,"?‘한 잔으로 즐거운 일상??’.Color of the year 2020 #classicblue ??2020년, 차분하고 안정적인 클래식블루와 함께 평온한 새해를 기원합니다!...#2020년 #팬톤컬러 #클래식블루 #올해의색 #블루 #탭플레이 #탭플레이커피 #pantone #2020pantone #blue #classic_blue #coloroftheyear #2020 #taplaycoffee #taplay",2019-12-30,16,,"['#classicblue', '#2020년', '#팬톤컬러', '#클래식블루', '#올해의색', '#블루', '#탭플레이', '#탭플레이커피', '#pantone', '#2020pantone', '#blue', '#classic_blue', '#coloroftheyear', '#2020', '#taplaycoffee', '#taplay']"
217,??바이바이마이블루?? #데일리룩#오오티디#송리단길#블루#파랑#내최애#컬러#올해의색#2020#빛이나는솔로,2019-12-29,66,,"['#데일리룩', '#오오티디', '#송리단길', '#블루', '#파랑', '#내최애', '#컬러', '#올해의색', '#2020', '#빛이나는솔로']"
218,??,2019-12-29,22,,[]
219,"여러분이 나눠주신 #2019 #올해의키워드 #올해의색 은 웹작업으로 다시 만나실 수 있어요! 참여해주신 분들 정말 감사드려요! 댓글, 메시지도!! ?? #지성은작가 #17ROOMS 마치고 들어가는 길인데 몸은 아파도 맘은 즐겁네요!",2019-12-28,45,,"['#2019', '#올해의키워드', '#올해의색', '#지성은작가', '#17ROOMS']"
220,"#색놀이터.동네에 생긴 미술놀이터??.감성충만, 코랄색이 너무 예뻤던 곳??.'색'은 내면에 감추어진 감정 언어.엄마의 마음으로 아이와 소통하는 철학이 마음에 쏘옥??.율이가 좋아하는 공룡들과 화산폭발놀이로 색감을 표현하는 놀이체험에 신났어요??????.#색놀이터죽전점 #색놀이터코랄 #드로잉카페 #아이와실내갈만한곳 #7세놀이 #용인맘 #수지맘 #육아소통 #미술체험 #용인갈만한곳 #2019년팬톤 #올해의색 #리빙코랄",2019-12-28,42,,"['#색놀이터.동네에', '#색놀이터죽전점', '#색놀이터코랄', '#드로잉카페', '#아이와실내갈만한곳', '#7세놀이', '#용인맘', '#수지맘', '#육아소통', '#미술체험', '#용인갈만한곳', '#2019년팬톤', '#올해의색', '#리빙코랄']"
221,오늘도 시작합니다. #17ROOMS그리고 오늘이 끝이니 오늘 1~7시 신사동으로 놀러오세요!#연말파티 #전시 #마켓 #지성은작가 #2019 #올해의키워드 #올해의색 #그림상점 #큐리어스마인드,2019-12-28,52,,"['#17ROOMS그리고', '#연말파티', '#전시', '#마켓', '#지성은작가', '#2019', '#올해의키워드', '#올해의색', '#그림상점', '#큐리어스마인드']"
222,"#클래식블루 ??올해의 팬톤 컬러.시대를 초월한 단아하고 푸른 빛깔..""해질무렵의 어둑해진 하늘을 암시하는 색상은 새로운 시대에 접어들면서 안정적인 기반을 만들고자 하는 우리의 염원을 담았다"" by. 팬톤.나에게도 의미있을 2020년. ""클래식 블루""처럼 조금 더 깊이있게, 평온하고 안정적이지만 청명하게 깨어있는 2020년이 되길. 그윽하고, 안정감있고 차분하게 물든 하늘같은 그런 색감.그런 마음.#안도감#편안함#보호..모두 따뜻한 연말되세요 ??..#팬톤#올해의색#coloroftheyear#pantone2020#pantone#classicblue#칼라의힘",2019-12-28,29,,"['#클래식블루', '#안도감', '#편안함', '#보호..모두', '#팬톤', '#올해의색', '#coloroftheyear', '#pantone2020', '#pantone', '#classicblue', '#칼라의힘']"
223,시작합니다 #17ROOMS #2019 #올해의키워드 #올해의색 #지성은작가 #연말파티 #전시 #마켓 #그림상점 #큐리어스마인드,2019-12-27,46,,"['#17ROOMS', '#2019', '#올해의키워드', '#올해의색', '#지성은작가', '#연말파티', '#전시', '#마켓', '#그림상점', '#큐리어스마인드']"
224,.2020년 #올해의색 #클래식블루 라 하지만우리는  #메디테리언블루 가 있어요 #팬톤컬러 #거실타일 #현관타일 #아트월 #아트월타일#주방타일 #대성하우징#싱크대타일 #키친타일 #스페인타일 #수입타일 #이태리타일 #타일인테리어 #욕실리모델링 #욕실타일 #주방타일 #주방스타그램 #욕실스타그램 #타일견적문의 #타일제안,2019-12-27,50,,"['#올해의색', '#클래식블루', '#메디테리언블루', '#팬톤컬러', '#거실타일', '#현관타일', '#아트월', '#아트월타일', '#주방타일', '#대성하우징', '#싱크대타일', '#키친타일', '#스페인타일', '#수입타일', '#이태리타일', '#타일인테리어', '#욕실리모델링', '#욕실타일', '#주방타일', '#주방스타그램', '#욕실스타그램', '#타일견적문의', '#타일제안']"
225,"-여러뷴!???? 4밤만 자면 벌써 새해가 밝아요 뚜둥!??우리는 멋쟁이니까 #2020트렌드컬러 정도는 알고 가야겠쥬?????-색채연구소 #팬톤 에서 발표한 #2020년 #올해의색 은 바로#클래식블루 입니다??-""클래식블루""는 해 질 무렵 황혼의 하늘을 연상케 하는 푸른색으로 심플함이 돋보이는 색이예요!선정이유는 많은 이들이 불안함을 가지고 살아간다며, 황혼의 하늘이 그런 이들에게 안도감과 자신감 그리고 연대의 감정을 느끼게 하기 때문이라고해요.-곧 다가올 2020년에는 우리 모두 평화롭길 바라요??-??그리고 또 하나!클래식블루를 활용한 본인에게 어울리는 헤어,메이크업,스타일링까지 #IAM 에서 #컬러컨설팅 받는거 잊지 마시구요??---#군산아이엠 #아이엠뷰티앤모어 #군산미용실 #군산메이크업 #군산퍼스널컬러진단 #군산속눈썹펌 #군산페이스왁싱 #수송동미용실 #데일리메이크업 #데일리룩",2019-12-27,68,군산시 수송동,"['#2020트렌드컬러', '#팬톤', '#2020년', '#올해의색', '#클래식블루', '#IAM', '#컬러컨설팅', '#군산아이엠', '#아이엠뷰티앤모어', '#군산미용실', '#군산메이크업', '#군산퍼스널컬러진단', '#군산속눈썹펌', '#군산페이스왁싱', '#수송동미용실', '#데일리메이크업', '#데일리룩']"
226,.2020년 #올해의색 #클래식블루 라 하지만우리는  #투르퀘사 가 있어요 #팬톤컬러 #거실타일 #현관타일 #아트월 #아트월타일#주방타일 #대성하우징#싱크대타일 #키친타일 #스페인타일 #수입타일 #이태리타일 #타일인테리어 #욕실리모델링 #욕실타일 #주방타일 #주방스타그램 #욕실스타그램 #타일견적문의 #타일제안,2019-12-27,49,,"['#올해의색', '#클래식블루', '#투르퀘사', '#팬톤컬러', '#거실타일', '#현관타일', '#아트월', '#아트월타일', '#주방타일', '#대성하우징', '#싱크대타일', '#키친타일', '#스페인타일', '#수입타일', '#이태리타일', '#타일인테리어', '#욕실리모델링', '#욕실타일', '#주방타일', '#주방스타그램', '#욕실스타그램', '#타일견적문의', '#타일제안']"
227,#????? ?? #?????? ?? ???????????? ???????????팬톤 덕후가 만든 커스텀 ??.....#????????????????? #?????????? #????????????? #?????? #????????????? #????????????? #???????????? #??????? #??????????? #pantone #vanscustom #customkicks #customshoes #sneakerhead #pantonesocks #sneakeraddict #classicblue #pantone2020 @angelus_korea @pantone_colormall @vans_korea @pantonepaint @pantone_socks.kr,2019-12-27,517,"Seoul, Korea","['#?????', '#??????', '#?????????????????', '#??????????', '#?????????????', '#??????', '#?????????????', '#?????????????', '#????????????', '#???????', '#???????????', '#pantone', '#vanscustom', '#customkicks', '#customshoes', '#sneakerhead', '#pantonesocks', '#sneakeraddict', '#classicblue', '#pantone2020']"
228,2020년 #올해의색 #클래식블루 라 하지만우리는  #인디고믹스 수영장타일이 있어요#300각 #팬톤컬러 #인디고블루#거실타일 #현관타일 #아트월 #아트월타일#주방타일 #대성하우징#싱크대타일 #키친타일#스페인타일 #수입타일 #이태리타일 #수영장타일 #타일인테리어 #욕실리모델링 #욕실타일 #주방타일 #주방스타그램 #욕실스타그램 #타일견적문의 #타일제안,2019-12-26,49,,"['#올해의색', '#클래식블루', '#인디고믹스', '#300각', '#팬톤컬러', '#인디고블루', '#거실타일', '#현관타일', '#아트월', '#아트월타일', '#주방타일', '#대성하우징', '#싱크대타일', '#키친타일', '#스페인타일', '#수입타일', '#이태리타일', '#수영장타일', '#타일인테리어', '#욕실리모델링', '#욕실타일', '#주방타일', '#주방스타그램', '#욕실스타그램', '#타일견적문의', '#타일제안']"
229,#하머#마블앤블루#귀걸이 도시적인 느낌이 물씬 느껴지는 대리석 무늬에 팬톤 선정 올해의 컬러인 클래식블루가 포인트 된 귀걸이.유럽 어느 강가의 다리를 옮겨놓은 듯한 독특하고 세련된 모양.대리석 무늬이지만 무겁지 않은 재질로 가볍게 착용 가능구매는 프로필 링크에서 부탁드려요??,2019-12-26,9,,"['#하머', '#마블앤블루', '#귀걸이']"
230,.2020년 #올해의색 #클래식블루 라 하지만우리는 바다보다 깊은 #아틀란티스블루 가 있어요 200각 #하프커팅 #모자이크#팬톤컬러 #거실타일 #현관타일 #아트월 #아트월타일#주방타일 #대성하우징#싱크대타일 #키친타일 #스페인타일 #수입타일 #이태리타일 #타일인테리어 #욕실리모델링 #욕실타일 #주방타일 #주방스타그램 #욕실스타그램 #타일견적문의 #타일제안,2019-12-26,29,,"['#올해의색', '#클래식블루', '#아틀란티스블루', '#하프커팅', '#모자이크', '#팬톤컬러', '#거실타일', '#현관타일', '#아트월', '#아트월타일', '#주방타일', '#대성하우징', '#싱크대타일', '#키친타일', '#스페인타일', '#수입타일', '#이태리타일', '#타일인테리어', '#욕실리모델링', '#욕실타일', '#주방타일', '#주방스타그램', '#욕실스타그램', '#타일견적문의', '#타일제안']"
231,.2020년 #올해의색 #클래식블루 라 하지만우리는 #코발트블루 가 있어요 300*600 벽타일 #팬톤컬러 #거실타일 #현관타일 #아트월 #아트월타일#주방타일 #대성하우징#싱크대타일 #키친타일 #스페인타일 #수입타일 #이태리타일 #타일인테리어 #욕실리모델링 #욕실타일 #주방타일 #주방스타그램 #욕실스타그램 #타일견적문의 #웨인스코팅타일 #웨인스코팅#웨인스코팅인테리어 #액자타일 #웨인스코팅디자인,2019-12-26,69,,"['#올해의색', '#클래식블루', '#코발트블루', '#팬톤컬러', '#거실타일', '#현관타일', '#아트월', '#아트월타일', '#주방타일', '#대성하우징', '#싱크대타일', '#키친타일', '#스페인타일', '#수입타일', '#이태리타일', '#타일인테리어', '#욕실리모델링', '#욕실타일', '#주방타일', '#주방스타그램', '#욕실스타그램', '#타일견적문의', '#웨인스코팅타일', '#웨인스코팅', '#웨인스코팅인테리어', '#액자타일', '#웨인스코팅디자인']"
232,.2020년 #올해의색 #클래식블루 라 하지만우리는 #오션블루 가 있어요200*600 100*300 벽타일#팬톤컬러 .유리아닙니다. 타일입니다.#거실타일 #현관타일 #아트월 #아트월타일#주방타일 #대성하우징#싱크대타일 #키친타일 #스페인타일 #수입타일 #이태리타일 #타일인테리어 #욕실리모델링 #욕실타일 #주방타일 #주방스타그램 #욕실스타그램 #타일견적문의 #타일제안,2019-12-26,44,,"['#올해의색', '#클래식블루', '#오션블루', '#팬톤컬러', '#거실타일', '#현관타일', '#아트월', '#아트월타일', '#주방타일', '#대성하우징', '#싱크대타일', '#키친타일', '#스페인타일', '#수입타일', '#이태리타일', '#타일인테리어', '#욕실리모델링', '#욕실타일', '#주방타일', '#주방스타그램', '#욕실스타그램', '#타일견적문의', '#타일제안']"
233,"??? 2020 올해의 컬러 팬톤페인트 체험단 발표 ???2020 올해의 컬러, 클래식 블루!#PANTONE 19-4052 Classic Blue?클래식 블루를 팬톤페인트로 체험해보실인스타그램 체험단 10명을 발표합니다. ???@normal.est @ssongjibaby @dong_cha_cha @s_j_n921 @nariya0930 @soob_iblueyou @onsil_zion @cafediart @pmy89_ @n.o.r.m.a.l.day ?????????????????팬톤페인트 체험 제품은 체험단 신청 시입력해주신 주소로 1월 초 일괄 발송됩니다.?리뷰 가이드와 주소지 확인을 위한 메일을 체험단 신청 시입력해주신 이메일로 발송 드렸으니 확인 부탁 드립니다. 12/29 이후에는 주소지 변경이 불가합니다.?또한 기한 내 리뷰를 제출해주신 분들께는멋진 선물이 준비되어 있답니다!?2020 올해의컬러로 멋진 인테리어를 완성하시고팬톤페인트가 준비한 선물도 받아가세요! ???????????????????체험단 선정을 다시 한번 축하드립니다 ??",2019-12-26,110,,['#PANTONE']
234,"#하머#귀걸이#오픈오늘 밤 9:00, 대리석 무늬와 클래식 블루의 포인트가 매력적인마블앤블루 오픈합니다?? 구매는 프로필 링크에서 부탁드려요??",2019-12-26,13,,"['#하머', '#귀걸이', '#오픈오늘']"
235,#아리네쌀롱?????? ????? ??? ?????? ? ?????? ????? ??? ?????? ? ?????? ??????2020년 팬톤컬러는[클래식블루/ClassicBlue]가 선정되었어요??2020년은 블루블루하게 준비해볼께요????????????예약은 문자나 카톡으로 남겨주시면시술후 순차적으로 답변드릴께욥???♀????????????????? ??????? ???? ????? ??? ?????? ? ?????? ????? ??? ?아리네쌀롱은 메이드인코리아를 응원합니다????????????????????????????디자인 사용시 출처/태그 매너 지켜주세요????ⓒ. 2019. ARINESALON. All Rights Reserved????????????????????????????? ????? ? ?????? ?????????? ? ?????? ????? ??????? ? ?????? ????? ??? ? ????? ? ?????? ????? ?? ????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ? ????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ?????? ? ?????? ????? ??? ? ????????????????????????????#아리네쌀롱디자인 #겨울네일 #팬톤컬러#잠실 #잠실역 #잠실네일 #신천네일 #송파네일#잠실네일샵 #잠실역네일샵 #잠실나루네일샵,2019-12-26,21,"Jamsil, Seoul, South Korea","['#아리네쌀롱??????', '#아리네쌀롱디자인', '#겨울네일', '#팬톤컬러', '#잠실', '#잠실역', '#잠실네일', '#신천네일', '#송파네일', '#잠실네일샵', '#잠실역네일샵', '#잠실나루네일샵']"
236,"?????????????????2020 올해의 컬러 #클래식블루 를지난 트렌드 컬러들과 Mix & Match 해보세요 ???클래식블루는 2016 올해의 컬러,#로즈쿼츠 와도 세련된 배색을 자랑하는데요.?이 두 컬러만으로 인테리어 하기가 부담스럽다면블루가 살짝 가미된 진그레이로 밸런스를 맞출 수 있습니다.?#PANTONE 19-4052 Classic Blue#PANTONE 13-1520 Rose Quartz#PANTONE 18-3916 Flint Stone",2019-12-17,171,,"['#클래식블루', '#로즈쿼츠', '#PANTONE', '#PANTONE', '#PANTONE']"
237,"??PANTONE Color of the year 2020""Classic Blue"".제일 좋아하는 색중 하나인 블루??..#디지털캘리그라피#캘리그라피#lmkun_calli#임쿤캘리",2019-12-15,138,,"['#디지털캘리그라피', '#캘리그라피', '#lmkun_calli', '#임쿤캘리']"
238,".?? 팬톤이 2020년 올해의 색을 발표했습니다. .바로, ????클래식 블루. ..??해 질 무렵의 하늘을 연상케 하는 푸른색으로, 차분하고 안정적인 색감이 매력적인 컬러입니다...우리 미술하다 친구들에게 익숙한 #푸른시간 입니다...2020년엔 클래식 블루의 제품을 좀 더 볼수 있겠네요...#미술하다???? #팬톤#올해의색",2019-12-14,22,,"['#푸른시간', '#미술하다????', '#팬톤', '#올해의색']"
239,"Color of the year 2020, pantone 올해의 색은 클래식 블루classic blue_ #pantone2020 #pantone #classicblue #올해의색 #2020",2019-12-13,40,,"['#pantone2020', '#pantone', '#classicblue', '#올해의색', '#2020']"
240,#올해의컬러#2020팬톤이 리빙코럴에이어 올해의컬러로선정한 클래식블루..#팬톤#클래식블루#블루#올해의색#트렌드컬러#시대를초월한청색컬러로심플함이돋보이는색#밝고시원한느낌#해질무렵하늘#우리의욕구강조#classicblue#coloroftheyear#pantone2020 #메이크업컬러#헤어컬러#패션컬러#인테리어컬러 ..#숭실대#숭실경영대학원#숭실대경경영학과_이미지경영학과#이미지메이킹#퍼스널브랜딩#퍼스널컬러#이미지컨설팅#이미지컨설턴트#cs강사#프리랜서강사#컬러경영#공간이미지,2019-12-13,31,,"['#올해의컬러', '#2020팬톤이', '#팬톤', '#클래식블루', '#블루', '#올해의색', '#트렌드컬러', '#시대를초월한청색컬러로심플함이돋보이는색', '#밝고시원한느낌', '#해질무렵하늘', '#우리의욕구강조', '#classicblue', '#coloroftheyear', '#pantone2020', '#메이크업컬러', '#헤어컬러', '#패션컬러', '#인테리어컬러', '#숭실대', '#숭실경영대학원', '#숭실대경경영학과_이미지경영학과', '#이미지메이킹', '#퍼스널브랜딩', '#퍼스널컬러', '#이미지컨설팅', '#이미지컨설턴트', '#cs강사', '#프리랜서강사', '#컬러경영', '#공간이미지']"
241,".주말에 영화 뭐 볼까요?! 이번 주 박스오피스 랭킹 순으로영화 소개해드릴게요!5. 아내를 죽였다 (이시언, 안내상)4. 감쪽같은 그녀 (나문희, 김수안)3. 포드 V 페라리 (멧 데이먼, 크리스찬 베일)2. 쥬만지 (드웨인 존슨, 잭 블랙)1. 겨울왕국 (크리스틴 벨, 이디나 멘젤)스릴러, 가족, 액션, 모험, 애니메이션까지! 장르도 다양하니 골라보는 재미가 쏠쏠하겠네요 ?? 주말엔 영화보러 가요~",2019-12-12,25,,[]
242,"?2020년 #팬톤 컬러,유행타지 않는 '클래식 블루‘????Color of the Year 2020 PANTONE 19-4052 Classic Blue?세계적인 컬러 연구소 팬톤은 2020년 올해의 컬러로 클래식 블루 (Classic Blue, 팬톤색상 번호 19-4502)를 선정했습니다.?“사람들이 불확실한 환경에서 찾고자 하는 안도감, 자신감, 그리고 연대의 감정을 해질녘 그늘에 있다고 생각했다 해가 질 무렵 황혼의 하늘을 연상시키는 푸른색”- PANTON?클래식 블루 컬러는 네이비 컬러보다 가벼우면서 스카이 블루보다 어두운 클래식 블루는 안정성과 심플함 모두 표현할 수 있는 유행을 타지 않는 컬러에요. 클래식 블루 컬러가 팬톤 컬러로 선정된 만큼 2020년에는 데님 업계에 아주 좋은 이슈가 될 것 같네요. 패션 업계 뿐만 아닌 다른 디자인 업계에서도 활용도 높은 클래식 블루 컬러를 이용한 제품들이 많이 출시될 것으로 예상됩니다.?발 빠른 패션 브랜드들은 벌써부터 클래식 블루를 제품 컬러로 선정하여 FAAI 와 함께 내년 제품 출시 준비 하고 있답니다.클래식 블루가 다양하게 쓰일 것이 기대되는 #2020 ????2020 FAAI + PANTONE®Coming soon????#올해의색 #클래식블루 #Pantone #Classic_Blue #Coloroftheyear2020 #컨트롤클로더 #파이 #패션브랜드 #쇼핑몰 #패션디자이너 #신진디자이너 #의류봉제공장 #의류생산 #자체제작 #의류자체제작 #마켓 #Controlclother #Fashionbrand",2019-12-12,48,,"['#팬톤', '#2020', '#올해의색', '#클래식블루', '#Pantone', '#Classic_Blue', '#Coloroftheyear2020', '#컨트롤클로더', '#파이', '#패션브랜드', '#쇼핑몰', '#패션디자이너', '#신진디자이너', '#의류봉제공장', '#의류생산', '#자체제작', '#의류자체제작', '#마켓', '#Controlclother', '#Fashionbrand']"
243,세계적인 색채 연구소 '팬톤'이 2020년 올해의 색을 '클래식 블루'로 선정했다. Pantone announced that 'Classic Blue' is the Color of the Year 2020. #팬톤 #올해의컬러 #올해의색 #트렌드컬러 #2020년,2019-12-11,"1,260",,"['#팬톤', '#올해의컬러', '#올해의색', '#트렌드컬러', '#2020년']"
244,"?????????????????팬톤이 선정한 #2020올해의컬러 #클래식블루 ??PANTONE 19-4052 Classic Blue ?????????????????해가 진 하늘 어스름을 표현한 클래식블루를 인테리어에 어떻게 활용해 보고 싶으신가요??????????????????네이비 보다는 라이트하지만, 블루보다는 깊이감이 느껴지는 클래식블루!?????????????????시간이 흘러도 유행에 흔들리지 않는 클래식 고유의 차분함이 느껴집니다. ?????????????????지금 @pantonepaint 에서#2020올해의컬러 #팬톤페인트 #체험단 공지를 확인해 보세요!",2019-12-11,697,,"['#2020올해의컬러', '#클래식블루', '#2020올해의컬러', '#팬톤페인트', '#체험단']"
245,#아트제이컴퍼니 팬톤이 선정한 2020 올해의 색은 제가 사랑하는 클래식 블루입니다♡팬톤은 블루를 사랑하는 것 같아요...제가 아는 올해의 색에 블루만 네가지인데 저랑 마음이 통한듯합니다♡ 내년애는 차분한 클래식 블루 상품이 많겠네요♡#디자인 #디자이너 #속초 #팬톤 #펜톤 #올해의색 #2020 #내년 #벌써한달 #클래식블루 #classicblue #pantone #pantone2020,2019-12-10,22,,"['#아트제이컴퍼니', '#디자인', '#디자이너', '#속초', '#팬톤', '#펜톤', '#올해의색', '#2020', '#내년', '#벌써한달', '#클래식블루', '#classicblue', '#pantone', '#pantone2020']"
246,올해를 마무리하며 여러분의 의견을 듣고 싶어요!#2019년 당신에게 있어 올해의 키워드는 무엇인가요? 그리고 올해를 하나의 색으로 정해본다면 무슨 색일까요?#올해의키워드 #올해의색 을 댓글 또는 DM으로 알려주세요! ??,2019-12-09,17,,"['#2019년', '#올해의키워드', '#올해의색']"
